hash,horario_primeira_aparicao,horario_ultima_aparicao,posicao_inicial,posicao_final,id_imagem,numero_camera
818257ed,2025-08-20 14:10:00,2025-08-20 14:10:40,"(489,295)","(453,191)",img_899,1
818257ed,2025-08-20 14:10:47,2025-08-20 14:11:27,"(162,281)","(237,13)",img_761,2
818257ed,2025-08-20 14:11:36,2025-08-20 14:12:16,"(142,193)","(81,395)",img_251,3
818257ed,2025-08-20 14:12:25,2025-08-20 14:13:05,"(30,166)","(135,281)",img_347,4
818257ed,2025-08-20 14:13:11,2025-08-20 14:13:51,"(239,281)","(135,311)",img_315,5
818257ed,2025-08-20 14:14:02,2025-08-20 14:14:42,"(335,96)","(135,269)",img_244,6
818257ed,2025-08-20 14:14:53,2025-08-20 14:15:33,"(226,425)","(280,317)",img_968,7
818257ed,2025-08-20 14:15:44,2025-08-20 14:16:24,"(79,291)","(444,124)",img_452,8
818257ed,2025-08-20 14:16:33,2025-08-20 14:17:13,"(427,282)","(326,184)",img_813,9
818257ed,2025-08-20 14:17:23,2025-08-20 14:18:03,"(252,280)","(368,449)",img_808,10
0aa49a39,2025-08-20 14:07:00,2025-08-20 14:07:20,"(401,335)","(341,477)",img_670,1
0aa49a39,2025-08-20 14:07:28,2025-08-20 14:07:48,"(152,35)","(451,210)",img_498,2
0aa49a39,2025-08-20 14:07:59,2025-08-20 14:08:19,"(49,211)","(182,298)",img_450,3
0aa49a39,2025-08-20 14:08:25,2025-08-20 14:08:45,"(65,235)","(73,204)",img_625,4
0aa49a39,2025-08-20 14:08:50,2025-08-20 14:09:10,"(266,136)","(186,193)",img_938,5
0aa49a39,2025-08-20 14:09:15,2025-08-20 14:09:35,"(177,295)","(411,383)",img_159,6
0aa49a39,2025-08-20 14:09:40,2025-08-20 14:10:00,"(493,463)","(166,80)",img_334,7
0aa49a39,2025-08-20 14:10:12,2025-08-20 14:10:32,"(427,81)","(281,78)",img_167,8
0aa49a39,2025-08-20 14:10:47,2025-08-20 14:11:07,"(256,148)","(408,229)",img_742,9
0aa49a39,2025-08-20 14:11:16,2025-08-20 14:11:36,"(158,466)","(192,290)",img_556,10
9e17b021,2025-08-20 14:08:00,2025-08-20 14:08:38,"(162,59)","(221,395)",img_938,1
9e17b021,2025-08-20 14:08:53,2025-08-20 14:09:31,"(155,98)","(356,92)",img_791,2
9e17b021,2025-08-20 14:09:46,2025-08-20 14:10:24,"(33,166)","(1,245)",img_418,3
9e17b021,2025-08-20 14:10:31,2025-08-20 14:11:09,"(51,411)","(319,225)",img_271,4
9e17b021,2025-08-20 14:11:20,2025-08-20 14:11:58,"(317,120)","(462,227)",img_450,5
9e17b021,2025-08-20 14:12:12,2025-08-20 14:12:50,"(4,173)","(139,359)",img_652,6
9e17b021,2025-08-20 14:12:57,2025-08-20 14:13:35,"(313,15)","(20,355)",img_126,7
9e17b021,2025-08-20 14:13:41,2025-08-20 14:14:19,"(189,251)","(419,54)",img_432,8
9e17b021,2025-08-20 14:14:25,2025-08-20 14:15:03,"(334,124)","(132,259)",img_889,9
9e17b021,2025-08-20 14:15:12,2025-08-20 14:15:50,"(399,490)","(211,39)",img_389,10
829759bd,2025-08-20 14:00:00,2025-08-20 14:00:27,"(256,353)","(155,381)",img_809,1
829759bd,2025-08-20 14:00:38,2025-08-20 14:01:05,"(31,105)","(443,67)",img_958,2
829759bd,2025-08-20 14:01:20,2025-08-20 14:01:47,"(109,224)","(480,357)",img_896,3
829759bd,2025-08-20 14:02:02,2025-08-20 14:02:29,"(441,396)","(10,99)",img_443,4
829759bd,2025-08-20 14:02:34,2025-08-20 14:03:01,"(329,238)","(149,472)",img_374,5
829759bd,2025-08-20 14:03:07,2025-08-20 14:03:34,"(303,137)","(191,159)",img_868,6
829759bd,2025-08-20 14:03:40,2025-08-20 14:04:07,"(130,5)","(193,259)",img_597,7
829759bd,2025-08-20 14:04:20,2025-08-20 14:04:47,"(470,473)","(183,75)",img_356,8
