hash,horario_primeira_aparicao,horario_ultima_aparicao,posicao_inicial,posicao_final,id_imagem,numero_camera
818257ed,2025-08-20 14:06:00,2025-08-20 14:06:25,"(42,145)","(375,23)",img_761,1
818257ed,2025-08-20 14:06:38,2025-08-20 14:07:03,"(298,339)","(49,284)",img_440,2
818257ed,2025-08-20 14:07:17,2025-08-20 14:07:42,"(208,194)","(74,224)",img_131,3
818257ed,2025-08-20 14:07:47,2025-08-20 14:08:12,"(201,276)","(395,35)",img_722,4
818257ed,2025-08-20 14:08:22,2025-08-20 14:08:47,"(364,110)","(461,131)",img_101,5
818257ed,2025-08-20 14:08:54,2025-08-20 14:09:19,"(430,249)","(179,470)",img_732,6
818257ed,2025-08-20 14:09:25,2025-08-20 14:09:50,"(388,300)","(174,420)",img_849,7
818257ed,2025-08-20 14:09:57,2025-08-20 14:10:22,"(5,231)","(331,8)",img_279,8
818257ed,2025-08-20 14:10:37,2025-08-20 14:11:02,"(123,25)","(465,101)",img_622,9
818257ed,2025-08-20 14:11:09,2025-08-20 14:11:34,"(318,45)","(291,361)",img_882,10
818257ed,2025-08-20 14:11:42,2025-08-20 14:12:07,"(424,171)","(378,382)",img_273,11
818257ed,2025-08-20 14:12:17,2025-08-20 14:12:42,"(16,497)","(42,162)",img_686,12
818257ed,2025-08-20 14:12:48,2025-08-20 14:13:13,"(126,289)","(292,36)",img_469,13
818257ed,2025-08-20 14:13:27,2025-08-20 14:13:52,"(181,264)","(79,101)",img_209,14
818257ed,2025-08-20 14:14:03,2025-08-20 14:14:28,"(5,312)","(127,106)",img_775,15
818257ed,2025-08-20 14:14:33,2025-08-20 14:14:58,"(497,285)","(297,154)",img_583,16
818257ed,2025-08-20 14:15:04,2025-08-20 14:15:29,"(402,496)","(473,379)",img_601,17
818257ed,2025-08-20 14:15:35,2025-08-20 14:16:00,"(56,380)","(398,226)",img_315,18
818257ed,2025-08-20 14:16:06,2025-08-20 14:16:31,"(355,381)","(242,472)",img_815,19
818257ed,2025-08-20 14:16:37,2025-08-20 14:17:02,"(319,335)","(174,177)",img_262,20
818257ed,2025-08-20 14:17:11,2025-08-20 14:17:36,"(244,164)","(250,19)",img_306,21
818257ed,2025-08-20 14:17:44,2025-08-20 14:18:09,"(144,217)","(228,68)",img_597,22
