hash,horario_primeira_aparicao,horario_ultima_aparicao,posicao_inicial,posicao_final,id_imagem,numero_camera
818257ed,2025-08-20 14:10:47,2025-08-20 14:11:27,"(162,281)","(237,13)",img_761,2
0aa49a39,2025-08-20 14:07:28,2025-08-20 14:07:48,"(152,35)","(451,210)",img_498,2
9e17b021,2025-08-20 14:08:53,2025-08-20 14:09:31,"(155,98)","(356,92)",img_791,2
829759bd,2025-08-20 14:00:38,2025-08-20 14:01:05,"(31,105)","(443,67)",img_958,2
95e08f24,2025-08-20 14:05:32,2025-08-20 14:05:57,"(122,55)","(252,322)",img_223,2
ed9858d4,2025-08-20 14:08:33,2025-08-20 14:08:58,"(360,192)","(339,283)",img_490,2
ee40ca05,2025-08-20 14:02:33,2025-08-20 14:02:59,"(252,146)","(120,491)",img_778,2
fb204c2f,2025-08-20 14:04:54,2025-08-20 14:05:33,"(269,372)","(41,221)",img_874,2
5af7ed8b,2025-08-20 14:06:43,2025-08-20 14:07:11,"(26,355)","(308,488)",img_620,2
0c20c5cb,2025-08-20 14:05:37,2025-08-20 14:06:06,"(420,57)","(434,80)",img_374,2
46e1d509,2025-08-20 14:07:45,2025-08-20 14:08:25,"(487,156)","(9,9)",img_659,2
1fa1edc9,2025-08-20 14:04:50,2025-08-20 14:05:30,"(227,353)","(307,161)",img_536,2
8596a1df,2025-08-20 14:07:47,2025-08-20 14:08:23,"(363,125)","(231,131)",img_781,2
e7535864,2025-08-20 14:06:27,2025-08-20 14:06:47,"(56,482)","(417,233)",img_538,2
234688d2,2025-08-20 14:05:42,2025-08-20 14:06:16,"(312,194)","(73,223)",img_881,2
e40c9cdc,2025-08-20 14:04:46,2025-08-20 14:05:20,"(243,493)","(353,110)",img_851,2
cf20304c,2025-08-20 14:10:44,2025-08-20 14:11:14,"(462,306)","(422,435)",img_427,2
260e4968,2025-08-20 14:05:41,2025-08-20 14:06:15,"(360,195)","(315,441)",img_610,2
af1e6b74,2025-08-20 14:10:37,2025-08-20 14:11:03,"(243,349)","(142,306)",img_257,2
30aa7fac,2025-08-20 14:04:26,2025-08-20 14:04:46,"(234,91)","(249,9)",img_823,2
69b24a51,2025-08-20 14:01:47,2025-08-20 14:02:23,"(31,153)","(177,271)",img_256,2
3e8cbc58,2025-08-20 14:00:28,2025-08-20 14:00:50,"(498,174)","(273,290)",img_634,2
a4257dab,2025-08-20 14:09:45,2025-08-20 14:10:23,"(30,108)","(59,115)",img_343,2
17394f4f,2025-08-20 14:10:35,2025-08-20 14:11:05,"(403,294)","(145,39)",img_439,2
3b919b90,2025-08-20 14:06:53,2025-08-20 14:07:33,"(421,266)","(59,107)",img_625,2
