hash,horario_primeira_aparicao,horario_ultima_aparicao,posicao_inicial,posicao_final,id_imagem,numero_camera
a1b2c3d4,2025-08-20 09:00:00,2025-08-20 09:05:00,"(100,200)","(150,250)",img_101,1
a1b2c3d4,2025-08-20 09:06:00,2025-08-20 09:10:00,"(150,250)","(200,300)",img_102,2
a1b2c3d4,2025-08-20 09:11:00,2025-08-20 09:15:00,"(200,300)","(250,350)",img_103,3

e5f6g7h8,2025-08-21 14:30:00,2025-08-21 14:35:00,"(300,400)","(350,450)",img_201,1
e5f6g7h8,2025-08-21 14:36:00,2025-08-21 14:40:00,"(350,450)","(400,500)",img_202,2
e5f6g7h8,2025-08-21 14:41:00,2025-08-21 14:45:00,"(400,500)","(450,550)",img_203,3

1234abcd,2025-08-22 11:00:00,2025-08-22 11:04:00,"(500,600)","(550,650)",img_301,4
1234abcd,2025-08-22 11:05:00,2025-08-22 11:09:00,"(550,650)","(600,700)",img_302,5

deadbeef,2025-08-23 08:15:00,2025-08-23 08:20:00,"(700,800)","(750,850)",img_401,1
deadbeef,2025-08-23 08:21:00,2025-08-23 08:25:00,"(750,850)","(800,900)",img_402,2
deadbeef,2025-08-23 08:26:00,2025-08-23 08:30:00,"(800,900)","(850,950)",img_403,3

feedface,2025-08-24 16:45:00,2025-08-24 16:50:00,"(900,1000)","(950,1050)",img_501,3
feedface,2025-08-24 16:51:00,2025-08-24 16:55:00,"(950,1050)","(1000,1100)",img_502,4

bead1234,2025-08-25 13:20:00,2025-08-25 13:25:00,"(1100,1200)","(1150,1250)",img_601,2
bead1234,2025-08-25 13:26:00,2025-08-25 13:30:00,"(1150,1250)","(1200,1300)",img_602,3

cafebabe,2025-08-26 07:10:00,2025-08-26 07:15:00,"(1300,1400)","(1350,1450)",img_701,1
cafebabe,2025-08-26 07:16:00,2025-08-26 07:20:00,"(1350,1450)","(1400,1500)",img_702,2

facefeed,2025-08-27 10:05:00,2025-08-27 10:10:00,"(1500,1600)","(1550,1650)",img_801,4
facefeed,2025-08-27 10:11:00,2025-08-27 10:15:00,"(1550,1650)","(1600,1700)",img_802,5
